id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,electtotal,electwon,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
,pbc-rep-united-states-senator,,,1,pbc-roque-rocky-de-la-fuente,,,,76991,,,Roque 'Rocky' De La,,,,Fuente,,,,,REP - United States Senator,,,,871,1,871,,,,,,,,,,8633,0.1121,
,pbc-rep-united-states-senator,,,2,pbc-rick-scott,,,,76991,,,Rick,,,,Scott,,,,,REP - United States Senator,,,,871,1,871,,,,,,,,,,68358,0.8879,
,pbc-rep-congress-18,,,3,pbc-dave-cummings,,,,23934,,,Dave,,,,Cummings,,,,,"REP - Congress, 18",,,,253,1,253,,,,,,,,,,2677,0.1118,
,pbc-rep-congress-18,,,4,pbc-mark-freeman,,,,23934,,,Mark,,,,Freeman,,,,,"REP - Congress, 18",,,,253,1,253,,,,,,,,,,2992,0.125,
,pbc-rep-congress-18,,,5,pbc-brian-mast,,,,23934,,,Brian,,,,Mast,,,,,"REP - Congress, 18",,,,253,1,253,,,,,,,,,,18265,0.7631,
,pbc-rep-congress-22,,,6,pbc-nicolas-kimaz,,,,8760,,,Nicolas,,,,Kimaz,,,,,"REP - Congress, 22",,,,59,1,59,,,,,,,,,,3329,0.38,
,pbc-rep-congress-22,,,7,pbc-javier-javi-manjarres,,,,8760,,,Javier 'Javi',,,,Manjarres,,,,,"REP - Congress, 22",,,,59,1,59,,,,,,,,,,2919,0.3332,
,pbc-rep-congress-22,,,8,pbc-eddison-walters,,,,8760,,,Eddison,,,,Walters,,,,,"REP - Congress, 22",,,,59,1,59,,,,,,,,,,2512,0.2868,
,pbc-rep-governor-and-lt-governor,,,9,pbc-don-baldauf,,,,76164,,,Don,,,,Baldauf,,,,,REP - Governor and  Lt.Governor,,,,871,1,871,,,,,,,,,,727,0.0095,
,pbc-rep-governor-and-lt-governor,,,10,pbc-ron-desantis,,,,76164,,,Ron,,,,DeSantis,,,,,REP - Governor and  Lt.Governor,,,,871,1,871,,,,,,,,,,49980,0.6562,
