ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
08/28/2018	REP	Republican Party	USS	United States Senator	ALA	Alachua	   	 	63	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	BAK	Baker	   	 	9	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	BAY	Bay	   	 	44	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	BRA	Bradford	   	 	14	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	BRE	Brevard	   	 	163	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	BRO	Broward	   	 	577	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	CAL	Calhoun	   	 	15	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	CHA	Charlotte	   	 	67	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	CIT	Citrus	   	 	31	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	CLA	Clay	   	 	47	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	CLL	Collier	   	 	59	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	CLM	Columbia	   	 	22	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	DAD	Miami-Dade	   	 	762	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	DES	Desoto	   	 	15	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	DIX	Dixie	   	 	10	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	DUV	Duval	   	 	199	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	ESC	Escambia	   	 	79	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	FLA	Flagler	   	 	25	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	FRA	Franklin	   	 	8	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	GAD	Gadsden	   	 	25	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	GIL	Gilchrist	   	 	10	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	GLA	Glades	   	 	13	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	GUL	Gulf	   	 	10	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	HAM	Hamilton	   	 	8	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	HAR	Hardee	   	 	12	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	HEN	Hendry	   	 	10	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	HER	Hernando	   	 	32	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	HIG	Highlands	   	 	25	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	HIL	Hillsborough	   	 	390	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	HOL	Holmes	   	 	8	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	IND	Indian River	   	 	36	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	JAC	Jackson	   	 	14	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	JEF	Jefferson	   	 	16	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	LAF	Lafayette	   	 	5	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	LAK	Lake	   	 	102	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	LEE	Lee	   	 	127	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	LEO	Leon	   	 	155	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	LEV	Levy	   	 	13	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	LIB	Liberty	   	 	8	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	MAD	Madison	   	 	12	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	MAN	Manatee	   	 	70	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	MON	Monroe	   	 	33	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	MRN	Marion	   	 	125	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	MRT	Martin	   	 	30	0	De La Fuente	Roque	"Rocky"	0
08/28/2018	REP	Republican Party	USS	United States Senator	NAS	Nassau	   	 	15	0	De La Fuente	Roque	"Rocky"	0
