ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
HEY	Republican Primary	Republican Primary	120001	United States Senator	12001	Alachua	HEY	HEY	63	63	De La Fuente	Roque	HEY	2181
HEY	Republican Primary	Republican Primary	120001	United States Senator	12001	Alachua	HEY	HEY	63	63	Scott	Rick	HEY	12790
HEY	Republican Primary	Republican Primary	120001	United States Senator	12003	Baker	HEY	HEY	9	9	De La Fuente	Roque	HEY	244
HEY	Republican Primary	Republican Primary	120001	United States Senator	12003	Baker	HEY	HEY	9	9	Scott	Rick	HEY	3172
HEY	Republican Primary	Republican Primary	120001	United States Senator	12005	Bay	HEY	HEY	44	44	De La Fuente	Roque	HEY	1770
HEY	Republican Primary	Republican Primary	120001	United States Senator	12005	Bay	HEY	HEY	44	44	Scott	Rick	HEY	17493
HEY	Republican Primary	Republican Primary	120001	United States Senator	12007	Bradford	HEY	HEY	14	14	De La Fuente	Roque	HEY	306
HEY	Republican Primary	Republican Primary	120001	United States Senator	12007	Bradford	HEY	HEY	14	14	Scott	Rick	HEY	3145
HEY	Republican Primary	Republican Primary	120001	United States Senator	12009	Brevard	HEY	HEY	174	174	De La Fuente	Roque	HEY	7770
HEY	Republican Primary	Republican Primary	120001	United States Senator	12009	Brevard	HEY	HEY	174	174	Scott	Rick	HEY	62613
HEY	Republican Primary	Republican Primary	120001	United States Senator	12011	Broward	HEY	HEY	577	565	De La Fuente	Roque	HEY	8576
HEY	Republican Primary	Republican Primary	120001	United States Senator	12011	Broward	HEY	HEY	577	565	Scott	Rick	HEY	52137
HEY	Republican Primary	Republican Primary	120001	United States Senator	12013	Calhoun	HEY	HEY	11	11	De La Fuente	Roque	HEY	113
HEY	Republican Primary	Republican Primary	120001	United States Senator	12013	Calhoun	HEY	HEY	11	11	Scott	Rick	HEY	878
HEY	Republican Primary	Republican Primary	120001	United States Senator	12015	Charlotte	HEY	HEY	67	67	De La Fuente	Roque	HEY	2937
HEY	Republican Primary	Republican Primary	120001	United States Senator	12015	Charlotte	HEY	HEY	67	67	Scott	Rick	HEY	17535
HEY	Republican Primary	Republican Primary	120001	United States Senator	12017	Citrus	HEY	HEY	31	31	De La Fuente	Roque	HEY	2404
HEY	Republican Primary	Republican Primary	120001	United States Senator	12017	Citrus	HEY	HEY	31	31	Scott	Rick	HEY	20873
HEY	Republican Primary	Republican Primary	120001	United States Senator	12019	Clay	HEY	HEY	47	47	De La Fuente	Roque	HEY	2526
HEY	Republican Primary	Republican Primary	120001	United States Senator	12019	Clay	HEY	HEY	47	47	Scott	Rick	HEY	26348
HEY	Republican Primary	Republican Primary	120001	United States Senator	12021	Collier	HEY	HEY	59	59	De La Fuente	Roque	HEY	3424
HEY	Republican Primary	Republican Primary	120001	United States Senator	12021	Collier	HEY	HEY	59	59	Scott	Rick	HEY	41097
HEY	Republican Primary	Republican Primary	120001	United States Senator	12023	Columbia	HEY	HEY	22	22	De La Fuente	Roque	HEY	734
HEY	Republican Primary	Republican Primary	120001	United States Senator	12023	Columbia	HEY	HEY	22	22	Scott	Rick	HEY	6709
HEY	Republican Primary	Republican Primary	120001	United States Senator	12027	Desoto	HEY	HEY	15	15	De La Fuente	Roque	HEY	271
HEY	Republican Primary	Republican Primary	120001	United States Senator	12027	Desoto	HEY	HEY	15	15	Scott	Rick	HEY	1706
HEY	Republican Primary	Republican Primary	120001	United States Senator	12029	Dixie	HEY	HEY	10	10	De La Fuente	Roque	HEY	220
HEY	Republican Primary	Republican Primary	120001	United States Senator	12029	Dixie	HEY	HEY	10	10	Scott	Rick	HEY	1343
HEY	Republican Primary	Republican Primary	120001	United States Senator	12031	Duval	HEY	HEY	199	199	De La Fuente	Roque	HEY	6683
HEY	Republican Primary	Republican Primary	120001	United States Senator	12031	Duval	HEY	HEY	199	199	Scott	Rick	HEY	65774
HEY	Republican Primary	Republican Primary	120001	United States Senator	12033	Escambia	HEY	HEY	79	79	De La Fuente	Roque	HEY	4819
HEY	Republican Primary	Republican Primary	120001	United States Senator	12033	Escambia	HEY	HEY	79	79	Scott	Rick	HEY	31692
HEY	Republican Primary	Republican Primary	120001	United States Senator	12035	Flagler	HEY	HEY	25	25	De La Fuente	Roque	HEY	1078
HEY	Republican Primary	Republican Primary	120001	United States Senator	12035	Flagler	HEY	HEY	25	25	Scott	Rick	HEY	12193
HEY	Republican Primary	Republican Primary	120001	United States Senator	12037	Franklin	HEY	HEY	8	8	De La Fuente	Roque	HEY	217
HEY	Republican Primary	Republican Primary	120001	United States Senator	12037	Franklin	HEY	HEY	8	8	Scott	Rick	HEY	1095
HEY	Republican Primary	Republican Primary	120001	United States Senator	12039	Gadsden	HEY	HEY	25	25	De La Fuente	Roque	HEY	213
HEY	Republican Primary	Republican Primary	120001	United States Senator	12039	Gadsden	HEY	HEY	25	25	Scott	Rick	HEY	1733
HEY	Republican Primary	Republican Primary	120001	United States Senator	12041	Gilchrist	HEY	HEY	10	10	De La Fuente	Roque	HEY	303
HEY	Republican Primary	Republican Primary	120001	United States Senator	12041	Gilchrist	HEY	HEY	10	10	Scott	Rick	HEY	2197
HEY	Republican Primary	Republican Primary	120001	United States Senator	12043	Glades	HEY	HEY	13	13	De La Fuente	Roque	HEY	98
HEY	Republican Primary	Republican Primary	120001	United States Senator	12043	Glades	HEY	HEY	13	13	Scott	Rick	HEY	867
HEY	Republican Primary	Republican Primary	120001	United States Senator	12045	Gulf	HEY	HEY	10	10	De La Fuente	Roque	HEY	263
HEY	Republican Primary	Republican Primary	120001	United States Senator	12045	Gulf	HEY	HEY	10	10	Scott	Rick	HEY	1649
HEY	Republican Primary	Republican Primary	120001	United States Senator	12047	Hamilton	HEY	HEY	8	8	De La Fuente	Roque	HEY	100
