id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,electtotal,electwon,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
floridaofficial-120001-12001,120001,Republican Primary,Republican Primary,997297,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,63,1,63,12001,Alachua,,,,Florida,FL,,,2181,0.14568,
floridaofficial-120001-12001,120001,Republican Primary,Republican Primary,997298,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,63,1,63,12001,Alachua,,,,Florida,FL,,,12790,0.85432,
floridaofficial-120001-12003,120001,Republican Primary,Republican Primary,997299,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,9,1,9,12003,Baker,,,,Florida,FL,,,244,0.071429,
floridaofficial-120001-12003,120001,Republican Primary,Republican Primary,997300,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,9,1,9,12003,Baker,,,,Florida,FL,,,3172,0.92857,
floridaofficial-120001-12005,120001,Republican Primary,Republican Primary,997301,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,44,1,44,12005,Bay,,,,Florida,FL,,,1770,0.091886,
floridaofficial-120001-12005,120001,Republican Primary,Republican Primary,997302,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,44,1,44,12005,Bay,,,,Florida,FL,,,17493,0.90811,
floridaofficial-120001-12007,120001,Republican Primary,Republican Primary,997303,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,14,1,14,12007,Bradford,,,,Florida,FL,,,306,0.088670,
floridaofficial-120001-12007,120001,Republican Primary,Republican Primary,997304,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,14,1,14,12007,Bradford,,,,Florida,FL,,,3145,0.91133,
floridaofficial-120001-12009,120001,Republican Primary,Republican Primary,997305,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,174,1,174,12009,Brevard,,,,Florida,FL,,,7770,0.11040,
floridaofficial-120001-12009,120001,Republican Primary,Republican Primary,997306,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,174,1,174,12009,Brevard,,,,Florida,FL,,,62613,0.88960,
floridaofficial-120001-12011,120001,Republican Primary,Republican Primary,997307,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,577,1,577,12011,Broward,,,,Florida,FL,,,8694,0.14107,
floridaofficial-120001-12011,120001,Republican Primary,Republican Primary,997308,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,577,1,577,12011,Broward,,,,Florida,FL,,,52934,0.85893,
floridaofficial-120001-12013,120001,Republican Primary,Republican Primary,997309,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,11,1,11,12013,Calhoun,,,,Florida,FL,,,113,0.11403,
floridaofficial-120001-12013,120001,Republican Primary,Republican Primary,997310,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,11,1,11,12013,Calhoun,,,,Florida,FL,,,878,0.88597,
